,"HA-acc-nb","NA-acc-nb","longitude","latitude","date"
"38","GQ385300","GQ385302",-79.38,43.65,"2009-05-26"
"39","GQ411897","GQ411899",-79.38,43.65,"2009-06-03"
"40","GQ232085","GQ232087",113.5,23.33,"2009-05-27"
"41","GQ250161","GQ250162",113.5,23.33,"2009-05-29"
"42","GQ223435","GQ223436",113.5,23.33,"2009-05-29"
"43","GQ225365","GQ225367",117.85,26.55,"2009-05-22"
"44","GQ225349","GQ225351",120,29,"2009-05-23"
"45","GQ166223","GQ166224",104.07,30.66,"2009-05-10"
"46","GQ225357","GQ225359",121.5,31.2,"2009-05-23"
"47","GQ253492","GQ253495",121.5,31.2,"2009-05-24"
"48","GQ253498","GQ253504",121.5,31.2,"2009-05-31"
"49","GQ200287","GQ200288",120.33,36.08,"2009-05-10"
"50","GQ225381","GQ225383",116.39,39.91,"2009-05-23"
"51","GQ232093","GQ232095",116.39,39.91,"2009-05-23"
"52","GQ183617","GQ183619",116.39,39.91,"2009-05-15"
"53","GQ223440","GQ223445",113.5,23.33,"2009-05-17"
"54","GQ293077","GQ293078",120,29,"2009-05-31"
"55","GQ259909","GQ433898",120,33,"2009-06-13"
"56","GQ288372","GQ288374",117.85,26.55,"2009-05-28"
"57","GQ457519","GQ463958",112.94,28.23,"2009-06-29"
"58","GQ411907","GQ411905",121.5,31.2,"2009-06-06"
"59","GQ411908","GQ340060",121.5,31.2,"2009-05-28"
"60","GQ455032","GQ455034",118.77,32.05,"2009-06-17"
"61","GQ290106","GQ290107",116.39,39.91,"2009-05-20"
"62","CY044147","CY044149",-74.08,4.61,"2009-06-25"
"63","FJ982430","FJ982431",12.57,55.72,"2009-04-29"
"64","CY043334","CY043336",12.57,55.72,"2009-06-04"
"65","CY043342","CY043344",12.57,55.72,"2009-06-04"
"66","CY041983","CY041985",-69.89,18.48,"2009-05-24"
"67","CY043102","CY043104",-69.89,18.48,"2009-05-26"
"68","CY043110","CY043112",-69.89,18.48,"2009-05-26"
"69","CY041960","CY041962",-69.89,18.48,"2009-05-24"
"70","GQ183633","GQ183634",24.94,60.17,"2009-05-10"
"71","GQ283488","GQ283487",24.94,60.17,"2009-05-26"
"72","GQ283493","GQ283492",24.94,60.17,"2009-05-28"
"73","GQ249333","GQ254710",2.35,48.86,"2009-05-01"
"74","GQ249337","GQ254714",2.35,48.86,"2009-05-11"
"75","GQ214138","GQ214140",2.35,48.86,"2009-04-30"
"76","GQ214156","GQ222423",2.35,48.86,"2009-05-01"
"77","GQ214144","GQ214146",2.35,48.86,"2009-04-30"
"78","GQ214151","GQ214152",2.35,48.86,"2009-04-29"
"79","GQ329100","GQ329102",2.35,48.86,"2009-05-17"
"80","GQ329082","GQ329084",2.35,48.86,"2009-05-22"
"81","GQ329106","GQ329108",7.44,48.32,"2009-05-06"
"82","GQ329088","GQ329090",7.44,48.32,"2009-05-05"
"83","GQ329070","GQ329072",-0.52,48.88,"2009-06-02"
"84","GQ166213","GQ166217",9.99,53.55,"2009-04-28"
"85","GQ166212","GQ166216",11.57,48.14,"2009-04-27"
"86","GQ365666","GQ365668",12.56,52.41,"2009-05-02"
"87","GQ365658","GQ365660",11.57,48.14,"2009-04-29"
"88","GQ365674","GQ365676",12.56,52.41,"2009-05-04"
"89","GQ283484","GQ283481",12.5,41.9,"2009-05-27"
"90","GQ421201","GQ421202",13.52,43.62,"2009-07-01"
"91","GQ421203","GQ421204",13.52,43.62,"2009-07-12"
"92","GQ392029","GQ392031",12.5,41.9,"2009-06-17"
"93","GQ351290","GQ351292",12.5,41.9,"2009-06-14"
"94","GQ351319","GQ351320",11.26,43.77,"2009-06-06"
"95","GQ219575","GQ220731",135.2,34.68,"2009-05-17"
"96","GQ219576","GQ220732",135.2,34.68,"2009-05-17"
"97","GQ219578","GQ220734",135.5,34.69,"2009-05-16"
"98","GQ219579","GQ220735",135.5,34.69,"2009-05-16"
"99","GQ219580","GQ220736",135.5,34.69,"2009-05-16"
"100","GQ219581","GQ220737",135.5,34.69,"2009-05-17"
"101","GQ165814","GQ166204",140.32,35.78,"2009-05-08"
"102","GQ287619","GQ287620",130.4,33.58,"2009-06-07"
"103","GQ287625","GQ287626",134.55,34.07,"2009-06-02"
"104","GQ287621","GQ287622",136.07,35.12,"2009-05-19"
"105","GQ287623","GQ287624",136.07,35.12,"2009-06-06"
"106","GQ287627","GQ287628",139.63,35.45,"2009-06-09"
"107","GQ334330","GQ334332",130.4,33.58,"2009-06-07"
"108","GQ334338","GQ334340",130.4,33.58,"2009-06-07"
"109","GQ365410","GQ365412",140.1,39.72,"2009-06-11"
"110","GQ365418","GQ365420",140.47,37.76,"2009-06-23"
"111","GQ365426","GQ365427",141.15,39.7,"2009-06-09"
"112","GQ365428","GQ365430",141.15,39.7,"2009-06-18"
"113","CY043078","CY043080",138.25,36.2,"2009-06-29"
"114","AB514227","AB514228",139.65,35.86,"2009-05-21"
"115","AB514226","AB514229",139.65,35.86,"2009-06-03"
"116","GQ365436","GQ365438",130.56,31.6,"2009-06-13"
"117","GQ365446","GQ365448",141.35,43.06,"2009-06-11"
"118","GQ334346","GQ334348",138.38,34.98,"2009-06-02"
"119","GQ334355","GQ334357",139.88,36.56,"2009-06-16"
"120","GQ365455","GQ365457",139.88,36.56,"2009-06-16"
"121","FN423713","FN423714",6.13,49.82,"2009-06-01"
"122","GQ162194","GQ162193",-99.13,19.43,"2009-04-02"
"123","GQ149689","GQ149650",-99.13,19.43,"2009-04-03"
"124","GQ149692","GQ149691",-99.13,19.43,"2009-04-07"
"125","GQ162182","GQ162181",-99.13,19.43,"2009-04-13"
"126","GQ162172","GQ162171",-99.13,19.43,"2009-04-15"
"127","GQ149671","GQ149670",-99.13,19.43,"2009-04-14"
"128","GQ149623","GQ149664",-99.13,19.43,"2009-04-14"
"129","GQ162197","GQ162196",-99.13,19.43,"2009-04-20"
"130","GQ162174","GQ162173",-99.13,19.43,"2009-04-20"
"131","GQ162191","GQ397116",-99.13,19.43,"2009-04-20"
"132","GQ149630","GQ149681",-99.13,19.43,"2009-04-19"
"133","GQ149634","GQ149631",-99.13,19.43,"2009-04-19"
"134","GQ162200","GQ397117",-99.13,19.43,"2009-04-20"
"135","GQ162204","GQ397120",-99.13,19.43,"2009-04-20"
"136","CY040888","CY040890",-99.13,19.43,"2009-04-25"
"137","FJ998208","FJ998214",-99.13,19.43,"2009-04-14"
"138","CY044163","CY044165",-99.13,19.43,"2009-04-25"
"139","GQ402189","GQ402229",-99.13,19.43,"2009-04-29"
"140","GQ402190","GQ402230",-99.13,19.43,"2009-04-29"
"141","GQ402192","GQ402232",-99.13,19.43,"2009-04-28"
"142","GQ402193","GQ402233",-99.13,19.43,"2009-04-29"
"143","GQ402191","GQ402231",-99.13,19.43,"2009-04-27"
"144","CY039527","CY039528",4.48,51.93,"2009-04-29"
"145","GQ205434","GQ205435",174.78,-36.85,"2009-04-25"
"146","GQ150338","GQ150336",174.78,-36.85,"2009-04-25"
"147","GQ150335","GQ150333",172.62,-43.53,"2009-04-29"
"148","CY044155","CY044157",-86.3,12.37,"2009-06-26"
"149","GQ202695","CY040874",10.76,59.95,"2009-05-07"
"150","CY040880","CY040882",8.5,59.33,"2009-05-08"
"151","GQ243753","GQ243754",120.97,14.58,"2009-05-20"
"152","GQ243749","GQ243750",120.97,14.58,"2009-05-23"
"153","GQ255897","GQ255898",36.28,54.55,"2009-05-22"
"154","GQ255901","GQ375286",37.62,55.75,"2009-06-04"
"155","GQ219586","GQ219585",37.62,55.75,"2009-05-21"
"156","GQ247726","GQ247727",37.62,55.75,"2009-05-26"
"157","GQ330645","GQ330646",37.62,55.75,"2009-06-03"
"158","GQ392022","GQ392023",37.62,55.75,"2009-07-09"
"159","GQ131023","GQ132185",126.98,37.55,"2009-05-02"
"160","GQ227545","GQ227546",17.97,59.37,"2009-05-08"
"161","GQ360060","GQ360062",17.97,59.37,"2009-05-30"
"162","GQ359765","GQ359766",17.97,59.37,"2009-05-29"
"163","CY044204","CY044206",121.56,25.09,"2009-05-22"
"164","CY044228","CY044230",121.56,25.09,"2009-05-30"
"165","CY044196","CY044198",121.3,24.99,"2009-05-19"
"166","CY044212","CY044214",121.56,25.09,"2009-05-22"
"167","GQ169382","GQ169381",100.48,13.75,"2009-05-06"
"168","CY039986","CY039988",100.48,13.75,"2009-05-06"
"169","GQ166661","GQ166659",-0.13,51.51,"2009-04-28"
"170","GQ117067","GQ117064",-112.07,33.45,"2009-04-22"
"171","GQ117079","GQ117077",-112.07,33.45,"2009-04-26"
"172","GQ221805","GQ221806",-112.07,33.45,"2009-04-26"
"173","GQ221809","GQ221810",-112.07,33.45,"2009-04-27"
"174","GQ232037","GQ323554",-112.07,33.45,"2009-04-28"
"175","FJ966082","FJ966084",-116.89,33.04,"2009-04-01"
"176","FJ966952","FJ966956",-115.49,32.78,"2009-03-30"
"177","FJ966960","FJ971075",-115.53,32.84,"2009-04-16"
"178","FJ981613","GQ377078",-116.76,33.28,"2009-04-09"
"179","GQ377052","GQ377050",-116.76,33.28,"2009-04-09"
"180","GQ160579","GQ221819",-117.89,33.84,"2009-04-24"
"181","GQ160606","GQ377092",-118.25,34.05,"2009-04-22"
"182","GQ160607","GQ323523",-118.25,34.05,"2009-04-21"
"183","GQ232038","GQ323555",-118.25,34.05,"2009-04-25"
"184","GQ117040","GQ117036",-119.18,34.19,"2009-04-25"
"185","GQ117119","GQ117118",-104.98,39.74,"2009-04-27"
"186","GQ221820","GQ221821",-104.98,39.74,"2009-04-26"
"187","GQ160594","GQ160593",-75.55,39.75,"2009-04-28"
"188","GQ160541","GQ160540",-75.55,39.75,"2009-04-28"
"189","GQ221823","GQ221824",-75.55,39.75,"2009-04-28"
"190","GQ232057","GQ323568",-75.55,39.75,"2009-04-28"
"191","GQ232023","GQ323545",-77.04,38.9,"2009-04-27"
"192","GQ160526","GQ160524",-80.15,25.99,"2009-04-27"
"193","GQ221826","GQ221827",-116.2,43.61,"2009-04-28"
"194","GQ232028","GQ232025",-87.62,41.89,"2009-04-24"
"195","GQ117097","GQ117094",-86.16,39.77,"2009-04-22"
"196","GQ168642","GQ396740",-91.12,40.81,"2009-04-24"
"197","GQ117059","GQ117058",-97.22,38.92,"2009-04-24"
"198","GQ117062","GQ323478",-97.22,38.92,"2009-04-24"
"199","GQ232009","GQ323515",-85.76,38.25,"2009-04-30"
"200","GQ232067","GQ323570",-90.07,29.96,"2009-05-01"
"201","GQ232033","GQ323547",-90.07,29.96,"2009-04-30"
"202","GQ160565","GQ323521",-76.62,39.28,"2009-04-29"
"203","GQ117043","GQ117042",-71.06,42.36,"2009-04-26"
"204","GQ117103","GQ117102",-71.06,42.36,"2009-04-25"
"205","GQ117112","GQ117108",-83.05,42.33,"2009-04-26"
"206","GQ231987","GQ338330",-90.2,38.63,"2009-05-01"
"207","GQ232070","GQ323571",-90.2,38.63,"2009-05-04"
"208","GQ160599","GQ323566",-96,41.25,"2009-04-27"
"209","GQ160582","GQ160581",-71.46,42.99,"2009-04-28"
"210","GQ168851","FJ984340",-74,40.72,"2009-04-25"
"211","GQ168650","GQ168648",-74,40.72,"2009-04-25"
"212","GQ168886","GQ323565",-74,40.72,"2009-04-25"
"213","FJ984375","FJ984371",-74,40.72,"2009-04-25"
"214","FJ984347","FJ984344",-74,40.72,"2009-04-25"
"215","FJ984337","FJ984335",-74,40.72,"2009-04-25"
"216","GQ117116","GQ117114",-74,40.72,"2009-04-25"
"217","GQ221814","GQ221815",-74,40.72,"2009-04-24"
"218","FJ984355","FJ984350",-74,40.72,"2009-04-25"
"219","FJ969509","FJ984390",-74,40.72,"2009-04-25"
"220","GQ117082","FJ969541",-74,40.72,"2009-04-25"
"221","GQ200250","GQ200251",-74,40.72,"2009-04-24"
"222","GQ117024","GQ117022",-74,40.72,"2009-04-24"
"223","FJ984364","FJ984362",-74,40.72,"2009-04-24"
"224","GQ160601","GQ168669",-74,40.72,"2009-04-24"
"225","GQ232049","GQ396745",-74,40.72,"2009-04-24"
"226","FJ984360","FJ984357",-74,40.72,"2009-04-24"
"227","GQ231999","GQ338348",-74,40.72,"2009-04-25"
"228","GQ160567","GQ323481",-74,40.72,"2009-04-25"
"229","GQ160543","GQ323460",-74,40.72,"2009-04-25"
"230","GQ160527","GQ323482",-74,40.72,"2009-04-25"
"231","GQ160602","GQ323525",-74,40.72,"2009-04-25"
"232","GQ160586","GQ160585",-80.84,35.23,"2009-04-28"
"233","GQ232060","GQ323569",-96.79,46.88,"2009-05-11"
"234","FJ984397","FJ969534",-82.98,39.98,"2009-04-24"
"235","GQ231993","GQ323459",-82.98,39.98,"2009-05-05"
"236","GQ232052","GQ323556",-82.98,39.98,"2009-04-30"
"237","CY040637","CY040639",-73.92,40.7,"2009-04-25"
"238","CY041122","CY041124",-73.92,40.7,"2009-04-25"
"239","GQ232044","GQ232041",-71.5,41.7,"2009-04-28"
"240","GQ117056","GQ117053",-81.04,34,"2009-04-26"
"241","GQ231981","GQ231980",-81.04,34,"2009-04-26"
"242","GQ231990","GQ323458",-96.73,43.54,"2009-05-05"
"243","GQ232054","GQ323557",-96.73,43.54,"2009-04-30"
"244","GQ160531","GQ160529",-97.68,30.65,"2009-04-28"
"245","FJ966959","GQ323512",-98.27,29.53,"2009-04-15"
"246","FJ984385","FJ984383",-98.27,29.53,"2009-04-23"
"247","FJ966982","FJ981614",-95.38,29.76,"2009-04-14"
"248","GQ117091","GQ323542",-95.38,29.76,"2009-04-25"
"249","GQ168671","GQ117028",-95.38,29.76,"2009-04-25"
"250","GQ232002","GQ323513",-95.38,29.76,"2009-04-23"
"251","GQ232076","GQ323573",-95.38,29.76,"2009-04-23"
"252","GQ122097","GQ122096",-95.38,29.76,"2009-04-15"
"253","GQ232019","GQ323526",-95.38,29.76,"2009-04-24"
"254","GQ160574","GQ160571",-95.38,29.76,"2009-04-26"
"255","GQ160550","GQ160547",-95.38,29.76,"2009-04-27"
"256","GQ232014","GQ323524",-95.38,29.76,"2009-04-29"
"257","GQ117051","GQ117048",-96.72,32.97,"2009-04-24"
"258","GQ232007","GQ232005",-73.15,44.47,"2009-05-04"
"259","GQ160591","GQ160589",-77.5,37.38,"2009-04-27"
"260","GQ160578","GQ323543",-122.2,47.49,"2009-04-28"
"261","GQ232073","GQ323572",-87.96,43.05,"2009-05-04"
"262","GQ232035","GQ323548",-87.96,43.05,"2009-05-04"
"263","GQ200237","GQ200238",-84.39,33.76,"2009-04-27"
"264","GQ160534","GQ160533",-74.57,40.68,"2009-04-25"
"265","GQ160538","GQ160536",-106.74,34.81,"2009-04-26"
"266","CY041130","CY041132",-73.92,40.7,"2009-04-25"
"267","CY041482","CY041484",-73.21,40.82,"2009-04-29"
"268","CY040838","CY040840",-73.92,40.7,"2009-04-27"
"269","CY040862","CY040864",-74,40.72,"2009-04-29"
"270","CY040693","CY040695",-74,40.72,"2009-04-30"
"271","CY040717","CY040719",-73.92,40.7,"2009-04-28"
"272","CY040457","CY040458",-89.97,35.12,"2009-05-01"
"273","CY040822","CY040824",-74,40.72,"2009-04-27"
"274","CY040629","CY040631",-74,40.72,"2009-04-28"
"275","CY040854","CY040856",-74,40.72,"2009-04-29"
"276","CY041114","CY041116",-73.92,40.7,"2009-04-28"
"277","CY041170","CY041172",-74,40.72,"2009-04-26"
"278","CY040645","CY040647",-74,40.72,"2009-04-30"
"279","CY040830","CY040832",-74,40.72,"2009-04-29"
"280","CY040007","CY040009",-74.02,41.52,"2009-04-27"
"281","CY041522","CY041524",-73.92,40.7,"2009-04-27"
"282","CY041605","CY041607",-73.92,40.7,"2009-04-26"
"283","CY040701","CY040703",-73.92,40.7,"2009-04-28"
"284","CY041613","CY041615",-73.59,40.73,"2009-04-25"
"285","CY041186","CY041188",-74,40.72,"2009-04-28"
"286","CY041058","CY041060",-73.92,40.7,"2009-04-26"
"287","CY041066","CY041068",-73.92,40.7,"2009-04-26"
"288","CY041597","CY041599",-74,40.72,"2009-05-02"
"289","CY041178","CY041180",-74,40.72,"2009-05-01"
"290","CY041194","CY041196",-74,40.72,"2009-04-29"
"291","CY041506","CY041508",-74,40.72,"2009-04-28"
"292","CY041530","CY041532",-73.92,40.7,"2009-04-26"
"293","CY041589","CY041591",-73.92,40.7,"2009-04-28"
"294","CY041514","CY041516",-73.21,40.82,"2009-04-27"
"295","CY041106","CY041108",-74,40.72,"2009-04-28"
"296","CY041146","CY041148",-74,40.72,"2009-04-28"
"297","CY041162","CY041164",-74,40.72,"2009-04-29"
"298","CY040042","CY040044",-77.61,43.17,"2009-04-27"
"299","CY041090","CY041092",-73.92,40.7,"2009-04-28"
"300","CY041498","CY041500",-73.59,40.73,"2009-04-28"
"301","CY040023","CY040025",-74.02,41.52,"2009-04-27"
"302","CY041082","CY041084",-75.04,42.63,"2009-04-27"
"303","CY040015","CY040017",-79.24,42.1,"2009-04-27"
"304","CY040709","CY040711",-73.92,40.7,"2009-04-28"
"305","CY041565","CY041567",-73.59,40.73,"2009-04-27"
"306","CY041098","CY041100",-74,40.72,"2009-04-26"
"307","CY041581","CY041583",-74,40.72,"2009-04-28"
"308","CY041645","CY041647",-76.2,43.01,"2009-05-04"
"309","CY041050","CY041052",-73.92,40.7,"2009-04-26"
"310","CY039901","CY039903",-73.21,40.82,"2009-04-27"
"311","CY041637","CY041639",-73.89,40.84,"2009-05-01"
"312","CY041490","CY041492",-74,40.72,"2009-04-28"
"313","CY041074","CY041076",-73.92,40.7,"2009-05-02"
"314","CY041202","CY041204",-73.92,40.7,"2009-04-28"
"315","CY041549","CY041551",-73.92,40.7,"2009-04-24"
"316","CY041573","CY041575",-73.92,40.7,"2009-04-28"
"317","CY039999","CY040001",-73.21,40.82,"2009-04-27"
"318","CY040031","CY040033",-73.21,40.82,"2009-04-29"
"319","CY041621","CY041623",-73.21,40.82,"2009-04-30"
"320","CY039893","CY039895",-74.02,41.52,"2009-04-26"
"321","CY041541","CY041543",-73.92,40.7,"2009-04-25"
"322","CY041557","CY041559",-73.92,40.7,"2009-04-28"
"323","CY041154","CY041156",-74,40.72,"2009-04-28"
"324","GQ323486","GQ323488",-112.07,33.45,"2009-05-19"
"325","GQ323495","GQ323493",-92.2,34.8,"2009-05-07"
"326","GQ323560","GQ323559",-80.15,25.99,"2009-05-01"
"327","GQ323443","GQ323442",-80.15,25.99,"2009-04-30"
"328","GQ323530","GQ323529",-87.62,41.89,"2009-05-23"
"329","GQ323470","GQ323468",-85.76,38.25,"2009-05-04"
"330","GQ323473","GQ323472",-90.07,29.96,"2009-05-01"
"331","GQ323446","GQ323445",-69,45.5,"2009-05-09"
"332","GQ323520","GQ323519",-83.05,42.33,"2009-05-05"
"333","GQ323451","GQ323450",-71.5,41.7,"2009-04-30"
"334","GQ323455","GQ323456",-95.38,29.76,"2009-05-11"
"335","GQ323576","GQ323575",-95.38,29.76,"2009-05-12"
"336","GQ323509","GQ323507",-122.2,47.49,"2009-05-07"
"337","GQ377101","GQ377100",-118.25,34.05,"2009-04-30"
"338","GQ377085","GQ377084",-118.25,34.05,"2009-05-01"
"339","GQ457517","GQ457516",-118.25,34.05,"2009-05-01"
"340","GQ338394","GQ338396",-75.55,39.75,"2009-04-28"
"341","GQ338355","GQ338357",-75.55,39.75,"2009-04-28"
"342","GQ338358","GQ338360",-157.8,21.31,"2009-04-30"
"343","GQ338416","GQ338418",-86.16,39.77,"2009-04-29"
"344","GQ338339","GQ338341",-90.07,29.96,"2009-04-29"
"345","GQ338364","GQ117071",-83.05,42.33,"2009-04-27"
"346","GQ457511","GQ457510",-108.54,45.79,"2009-05-05"
"347","GQ377043","GQ377040",-108.54,45.79,"2009-05-04"
"348","GQ457482","GQ457481",-115.14,36.18,"2009-04-26"
"349","GQ338372","GQ338374",-115.14,36.18,"2009-04-29"
"350","GQ457497","FJ984378",-74,40.72,"2009-04-25"
"351","GQ377103","GQ377102",-74,40.72,"2009-04-24"
"352","GQ338405","GQ338406",-74,40.72,"2009-05-08"
"353","GQ338335","GQ338336",-74,40.72,"2009-05-23"
"354","GQ377069","GQ377067",-74,40.72,"2009-05-18"
"355","GQ338368","GQ338370",-82.98,39.98,"2009-04-27"
"356","GQ338378","GQ338380",-97.47,35.66,"2009-05-01"
"357","GQ377087","GQ377086",-122.68,45.52,"2009-04-29"
"358","GQ338402","GQ338404",-75.17,39.95,"2009-04-30"
"359","GQ338400","GQ338401",-75.17,39.95,"2009-04-28"
"360","GQ338381","GQ338384",-71.5,41.7,"2009-06-01"
"361","CY044235","CY044237",-98.47,29.53,"2009-04-14"
"362","CY044243","CY044245",-98.47,29.53,"2009-04-15"
"363","CY044251","CY044253",-98.47,29.53,"2009-04-23"
"364","CY044187","CY044189",-77.02,39,"2009-06-18"
"365","GQ377045","GQ377044",-97.68,30.65,"2009-04-30"
"366","GQ377061","GQ377060",-97.7,26.19,"2009-04-24"
"367","GQ457501","GQ323553",-95.38,29.76,"2009-05-05"
"368","GQ338375","GQ338377",-95.38,29.76,"2009-04-29"
"369","GQ338409","GQ338411",-95.38,29.76,"2009-04-26"
"370","GQ377047","GQ377046",-95.38,29.76,"2009-05-22"
"371","GQ377107","GQ377105",-111.88,40.75,"2009-05-31"
"372","GQ457465","GQ457464",-111.88,40.75,"2009-06-14"
"373","GQ396732","GQ396731",-111.88,40.75,"2009-06-05"
"374","GQ457470","GQ457469",-111.88,40.75,"2009-06-14"
"375","GQ377064","GQ377063",-77.5,37.38,"2009-05-06"
"376","GQ338391","GQ338393",-122.33,47.61,"2009-04-27"
"377","GQ377075","GQ377074",-122.33,47.61,"2009-04-30"
"378","GQ338414","GQ338415",-87.96,43.05,"2009-04-27"
"379","GQ338361","GQ338362",-87.96,43.05,"2009-05-07"
"380","CY044171","CY044173",-77.12,38.99,"2009-06-16"
"381","CY043118","CY043120",-77.12,38.99,"2009-06-18"
"382","CY043086","CY043088",-115.53,32.98,"2009-04-22"
"383","CY043094","CY043096",-115.53,32.98,"2009-04-21"
"384","CY044179","CY044181",-77.02,39,"2009-06-18"
"385","CY043267","CY043269",-73.21,40.82,"2009-05-19"
"386","CY043219","CY043221",-78.75,42.7,"2009-05-11"
"387","CY041758","CY041760",-73.21,40.82,"2009-05-11"
"388","CY041726","CY041728",-74,40.72,"2009-04-29"
"389","CY043283","CY043285",-73.78,41.04,"2009-05-13"
"390","CY041750","CY041752",-78.75,42.7,"2009-05-06"
"391","CY043195","CY043197",-73.37,43.25,"2009-05-06"
"392","CY041734","CY041736",-73.92,40.7,"2009-04-26"
"393","CY041798","CY041800",-74,41.15,"2009-05-17"
"394","CY041830","CY041832",-73.89,40.84,"2009-04-28"
"395","CY041782","CY041784",-73.59,40.73,"2009-05-04"
"396","CY043227","CY043229",-73.59,40.73,"2009-05-17"
"397","CY043131","CY043133",-73.59,40.73,"2009-05-14"
"398","CY041766","CY041768",-76.2,43.01,"2009-05-08"
"399","CY044096","CY044098",-73.21,40.82,"2009-06-03"
"400","CY043211","CY043213",-73.6,44.79,"2009-05-13"
"401","CY044080","CY044082",-73.75,41.78,"2009-05-29"
"402","CY043275","CY043277",-75.91,43.98,"2009-05-25"
"403","CY041822","CY041824",-73.95,40.62,"2009-05-06"
"404","CY043235","CY043237",-73.59,40.73,"2009-05-16"
"405","CY043243","CY043245",-73.59,40.73,"2009-05-16"
"406","CY043259","CY043261",-76.2,43.01,"2009-05-20"
"407","CY041814","CY041816",-73.92,40.7,"2009-05-06"
"408","CY043147","CY043149",-74,41.15,"2009-05-20"
"409","CY041790","CY041792",-74.69,41.65,"2009-05-14"
"410","CY044104","CY044106",-74.69,41.65,"2009-06-05"
"411","CY041806","CY041808",-73.78,41.04,"2009-05-02"
"412","CY044128","CY044130",-73.94,42.58,"2009-05-17"
"413","CY044112","CY044114",-76.55,42.77,"2009-06-10"
"414","CY044056","CY044058",-73.75,41.78,"2009-05-20"
"415","CY041774","CY041776",-74.12,42.3,"2009-05-16"
"416","CY043203","CY043205",-73.59,40.73,"2009-05-04"
"417","CY043171","CY043173",-73.59,40.73,"2009-05-04"
"418","CY043299","CY043301",-73.59,40.73,"2009-05-12"
"419","CY043187","CY043189",-73.59,40.73,"2009-05-16"
"420","CY044072","CY044074",-74,40.72,"2009-05-26"
"421","CY044088","CY044090",-74,40.72,"2009-05-18"
"422","CY043155","CY043157",-76.2,43.01,"2009-05-12"
"423","CY044136","CY044138",-76.2,43.01,"2009-05-19"
"424","CY043139","CY043141",-76.2,43.01,"2009-05-19"
"425","CY043291","CY043293",-74,41.15,"2009-05-16"
"426","CY043251","CY043253",-74,41.15,"2009-05-16"
"427","CY044120","CY044122",-73.85,43.01,"2009-06-17"
"428","CY043307","CY043309",-73.21,40.82,"2009-05-17"
"429","CY044048","CY044050",-73.21,40.82,"2009-05-20"
"430","CY043179","CY043181",-73.78,41.04,"2009-05-12"
"431","CY044064","CY044066",-73.75,41.78,"2009-05-19"
"432","CY043163","CY043165",-78.75,42.7,"2009-05-11"
"433","CY043123","CY043125",-73.21,40.82,"2009-05-08"
